checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
unknown,12,critical,business,0 - 10000,< 100 DM,unemployed,4,2,42,store,own,2,management,1,yes
unknown,12,critical,furniture/appliances,0 - 10000,unknown,> 7 years,2,4,49,none,rent,1,skilled,1,no
< 0 DM,36,critical,education,0 - 10000,< 100 DM,1 - 4 years,3,2,25,none,own,2,management,1,yes
unknown,18,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,2,21,none,rent,1,skilled,1,no
1 - 200 DM,20,perfect,car,0 - 10000,100 - 500 DM,> 7 years,3,4,31,bank,own,2,skilled,1,no
1 - 200 DM,15,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,1,23,none,own,1,skilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,54,bank,rent,1,management,1,no
unknown,24,good,car,0 - 10000,< 100 DM,> 7 years,4,4,35,none,own,1,management,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,57,store,own,1,unskilled,1,yes
1 - 200 DM,6,good,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,38,none,own,1,skilled,1,no
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,31,none,own,2,skilled,1,no
> 200 DM,9,perfect,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,2,34,none,own,2,management,1,yes
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,63,none,own,2,unskilled,1,no
> 200 DM,24,good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,4,2,47,none,other,1,skilled,1,no
unknown,12,critical,renovations,0 - 10000,unknown,4 - 7 years,4,4,23,none,own,2,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,28,none,own,1,skilled,1,no
1 - 200 DM,24,critical,car,0 - 10000,> 1000 DM,> 7 years,2,4,29,none,rent,1,skilled,1,no
< 0 DM,30,good,renovations,10000 - 30000,< 100 DM,< 1 year,1,1,34,none,own,1,unskilled,1,yes
unknown,36,poor,business,0 - 10000,unknown,< 1 year,4,4,27,none,rent,2,skilled,1,yes
unknown,9,good,car,0 - 10000,500 - 1000 DM,> 7 years,2,4,51,none,other,1,unskilled,1,no
< 0 DM,10,critical,car,0 - 10000,< 100 DM,4 - 7 years,4,3,49,none,own,2,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,42,none,own,1,skilled,1,yes
< 0 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,2,42,none,own,1,skilled,2,yes
< 0 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no
unknown,10,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,1,3,23,none,rent,2,skilled,1,no
unknown,48,poor,furniture/appliances,0 - 10000,unknown,> 7 years,3,3,32,bank,own,2,skilled,2,no
unknown,24,critical,furniture/appliances,0 - 10000,> 1000 DM,1 - 4 years,4,1,43,none,own,2,unskilled,1,no
1 - 200 DM,24,critical,business,0 - 10000,< 100 DM,> 7 years,4,4,31,none,own,2,skilled,1,yes
1 - 200 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,30,none,own,1,management,1,no
unknown,10,good,car,0 - 10000,unknown,< 1 year,1,4,31,none,rent,1,skilled,1,no
unknown,6,perfect,car,0 - 10000,100 - 500 DM,1 - 4 years,4,1,35,bank,rent,1,skilled,1,no
< 0 DM,18,perfect,furniture/appliances,0 - 10000,< 100 DM,< 1 year,1,4,26,none,rent,1,skilled,1,yes
unknown,24,good,furniture/appliances,0 - 10000,100 - 500 DM,1 - 4 years,4,1,25,store,own,1,skilled,1,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,37,none,own,1,skilled,1,no
< 0 DM,24,very good,furniture/appliances,0 - 10000,500 - 1000 DM,< 1 year,4,4,30,none,other,1,skilled,2,yes
unknown,15,good,education,0 - 10000,100 - 500 DM,1 - 4 years,3,2,40,none,own,1,management,1,yes
< 0 DM,24,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,60,none,own,2,unskilled,1,yes
< 0 DM,21,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,25,none,own,2,skilled,1,yes
unknown,24,good,furniture/appliances,0 - 10000,unknown,< 1 year,1,1,44,none,own,2,skilled,1,yes
1 - 200 DM,24,poor,car,0 - 10000,unknown,1 - 4 years,4,4,42,none,rent,2,skilled,1,no
< 0 DM,12,good,car,0 - 10000,> 1000 DM,1 - 4 years,1,3,31,none,own,1,skilled,2,no
< 0 DM,18,good,car,0 - 10000,100 - 500 DM,1 - 4 years,3,4,35,none,own,1,unskilled,2,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,2,31,none,own,2,unskilled,1,yes
unknown,6,critical,car,0 - 10000,> 1000 DM,1 - 4 years,2,2,41,bank,own,2,unskilled,1,no
< 0 DM,42,poor,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,2,26,bank,own,2,skilled,2,yes
unknown,18,good,business,0 - 10000,< 100 DM,4 - 7 years,4,1,34,store,own,2,skilled,1,no
unknown,12,critical,education,0 - 10000,unknown,4 - 7 years,4,2,61,none,own,1,skilled,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,25,none,own,1,unskilled,1,no
> 200 DM,6,good,car,0 - 10000,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no
unknown,15,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,1,24,none,own,1,skilled,1,no
> 200 DM,18,good,car,0 - 10000,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,29,none,own,1,skilled,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,4,4,27,bank,rent,4,skilled,1,yes
1 - 200 DM,6,very good,car,0 - 10000,100 - 500 DM,< 1 year,1,1,32,store,own,1,unskilled,1,yes
unknown,13,good,furniture/appliances,0 - 10000,100 - 500 DM,unemployed,2,4,64,none,own,1,skilled,1,no
1 - 200 DM,15,poor,renovations,0 - 10000,> 1000 DM,1 - 4 years,3,3,61,store,own,2,skilled,1,yes
unknown,18,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,3,36,none,own,2,skilled,1,no
< 0 DM,48,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,yes
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,24,none,own,1,skilled,1,yes
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,53,none,other,1,management,1,yes
< 0 DM,30,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,1,3,39,none,own,1,skilled,2,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,48,bank,rent,2,unskilled,1,no
1 - 200 DM,12,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,no
unknown,9,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,2,19,none,rent,2,skilled,1,yes
< 0 DM,24,good,car,0 - 10000,unknown,1 - 4 years,4,2,35,none,own,1,skilled,1,yes
< 0 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,4,21,none,rent,1,skilled,1,no
1 - 200 DM,24,good,car,0 - 10000,500 - 1000 DM,< 1 year,3,4,28,none,rent,1,skilled,1,yes
unknown,33,critical,car,0 - 10000,< 100 DM,4 - 7 years,3,2,35,none,own,2,management,1,no
1 - 200 DM,24,poor,furniture/appliances,0 - 10000,< 100 DM,unemployed,3,2,34,none,own,1,management,1,yes
1 - 200 DM,18,good,renovations,0 - 10000,< 100 DM,unemployed,2,4,67,none,own,1,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,1,25,none,own,1,skilled,1,no
< 0 DM,15,good,car,0 - 10000,< 100 DM,unemployed,1,4,23,none,rent,1,skilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,4,26,none,rent,1,management,1,no
1 - 200 DM,15,good,car,0 - 10000,100 - 500 DM,1 - 4 years,2,4,28,none,rent,2,skilled,1,yes
