checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
1 - 200 DM,48,very good,business,0 - 10000,< 100 DM,> 7 years,4,3,59,none,rent,1,skilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,22,bank,other,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,100 - 500 DM,unemployed,4,3,22,none,own,1,skilled,1,yes
unknown,18,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,2,21,none,rent,1,skilled,1,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,37,none,own,1,skilled,1,no
unknown,24,poor,car,0 - 10000,< 100 DM,> 7 years,4,4,60,none,other,2,skilled,1,no
unknown,36,critical,car,10000 - 30000,unknown,1 - 4 years,4,2,30,none,own,1,management,1,no
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,35,none,other,2,skilled,1,no
unknown,6,good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,2,4,42,bank,other,1,skilled,2,no
unknown,42,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,2,4,29,none,rent,1,skilled,1,no
> 200 DM,12,very good,business,0 - 10000,< 100 DM,< 1 year,4,1,26,none,own,1,unemployed,1,yes
< 0 DM,36,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,31,none,rent,1,skilled,1,yes
unknown,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,1,38,none,own,2,unskilled,2,no
unknown,24,poor,car,0 - 10000,< 100 DM,4 - 7 years,3,3,35,none,own,2,unskilled,1,no
1 - 200 DM,18,good,renovations,0 - 10000,< 100 DM,unemployed,2,4,67,none,own,1,skilled,1,no
unknown,36,poor,business,0 - 10000,< 100 DM,< 1 year,1,1,28,none,own,2,skilled,1,yes
unknown,24,critical,car,0 - 10000,> 1000 DM,> 7 years,4,4,37,none,own,2,skilled,1,no
unknown,18,critical,furniture/appliances,0 - 10000,> 1000 DM,1 - 4 years,4,3,46,none,own,2,skilled,1,no
1 - 200 DM,36,good,furniture/appliances,0 - 10000,100 - 500 DM,< 1 year,4,1,29,none,rent,1,management,1,yes
unknown,24,good,business,0 - 10000,< 100 DM,4 - 7 years,4,1,25,none,own,1,skilled,1,no
1 - 200 DM,15,good,renovations,0 - 10000,100 - 500 DM,1 - 4 years,3,2,25,none,own,1,unskilled,1,no
< 0 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,4,59,none,own,1,skilled,1,no
unknown,60,good,furniture/appliances,10000 - 30000,100 - 500 DM,4 - 7 years,2,4,21,none,own,1,skilled,1,no
1 - 200 DM,48,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,1,41,none,own,2,skilled,2,no
unknown,24,critical,car,0 - 10000,< 100 DM,> 7 years,4,2,41,none,rent,2,management,1,no
> 200 DM,18,very good,furniture/appliances,0 - 10000,unknown,4 - 7 years,4,4,49,bank,own,1,unskilled,1,no
unknown,7,poor,furniture/appliances,0 - 10000,unknown,> 7 years,3,4,36,none,other,1,skilled,1,no
< 0 DM,12,critical,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,3,58,none,own,4,unskilled,1,no
unknown,24,good,furniture/appliances,0 - 10000,500 - 1000 DM,4 - 7 years,4,1,28,none,own,1,skilled,1,no
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,33,none,own,1,skilled,1,no
1 - 200 DM,36,perfect,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,1,42,none,own,1,skilled,1,yes
1 - 200 DM,9,good,car,0 - 10000,< 100 DM,1 - 4 years,4,4,22,none,rent,1,unskilled,1,no
unknown,6,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,1,2,32,none,own,1,skilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,4,2,21,none,own,1,skilled,1,no
< 0 DM,48,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,yes
< 0 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,24,none,rent,2,skilled,1,yes
unknown,24,good,car,0 - 10000,> 1000 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,2,4,20,none,own,1,skilled,1,yes
< 0 DM,15,good,car,0 - 10000,< 100 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no
1 - 200 DM,24,good,car,0 - 10000,unknown,> 7 years,4,4,36,bank,other,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,28,none,own,1,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,unknown,< 1 year,1,2,30,none,own,1,skilled,1,no
> 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,37,store,own,1,skilled,1,yes
1 - 200 DM,6,poor,business,0 - 10000,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no
1 - 200 DM,12,good,car,0 - 10000,< 100 DM,> 7 years,1,1,46,none,rent,2,skilled,1,yes
< 0 DM,48,very good,business,0 - 10000,< 100 DM,4 - 7 years,2,4,37,none,rent,1,skilled,1,yes
unknown,6,critical,car,0 - 10000,500 - 1000 DM,1 - 4 years,1,2,24,none,own,1,skilled,1,no
unknown,12,critical,business,0 - 10000,< 100 DM,1 - 4 years,3,2,27,none,own,2,skilled,1,no
unknown,18,good,business,0 - 10000,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no
< 0 DM,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,66,none,other,2,management,1,no
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,52,none,own,3,skilled,1,no
unknown,24,good,car,0 - 10000,< 100 DM,4 - 7 years,3,3,38,none,own,1,management,1,no
1 - 200 DM,54,perfect,business,10000 - 30000,< 100 DM,< 1 year,3,4,58,none,rent,1,skilled,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,3,1,26,none,own,1,skilled,1,no
1 - 200 DM,15,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,3,37,none,own,1,skilled,2,yes
1 - 200 DM,9,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,2,1,24,none,own,1,skilled,1,no
unknown,36,good,car,0 - 10000,500 - 1000 DM,> 7 years,4,4,36,none,own,1,skilled,1,no
unknown,18,poor,business,0 - 10000,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,yes
< 0 DM,18,perfect,business,0 - 10000,< 100 DM,4 - 7 years,3,1,31,bank,own,1,skilled,1,no
> 200 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,1,34,none,own,1,unskilled,2,yes
1 - 200 DM,30,very good,furniture/appliances,0 - 10000,> 1000 DM,1 - 4 years,4,2,34,store,own,1,skilled,2,no
unknown,21,good,car,0 - 10000,unknown,> 7 years,4,4,46,none,own,1,management,1,no
unknown,10,good,car,0 - 10000,< 100 DM,1 - 4 years,2,4,64,none,own,1,skilled,1,no
> 200 DM,10,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,37,none,own,1,skilled,1,no
1 - 200 DM,24,good,car,0 - 10000,< 100 DM,< 1 year,3,4,25,none,own,1,unskilled,1,yes
1 - 200 DM,36,very good,furniture/appliances,0 - 10000,unknown,< 1 year,3,2,29,bank,own,1,unemployed,1,no
1 - 200 DM,18,good,car,0 - 10000,unknown,1 - 4 years,4,2,33,none,own,1,skilled,1,yes
1 - 200 DM,27,good,business,0 - 10000,< 100 DM,< 1 year,4,1,32,none,own,1,skilled,2,no
> 200 DM,6,poor,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,1,29,bank,own,1,skilled,1,no
